,weights
2017-09-02 23:59:00+00:00,"coin
btc    0.408330
xrp    0.188399
eth    0.165710
ltc    0.081000
bch    0.075662
xmr    0.031132
etc    0.025353
neo    0.013140
zec    0.006880
eos    0.004394
Name: volume, dtype: float64"
2017-09-03 23:59:00+00:00,"coin
btc    0.408330
xrp    0.188399
eth    0.165710
ltc    0.081000
bch    0.075662
xmr    0.031132
etc    0.025353
neo    0.013140
zec    0.006880
eos    0.004394
Name: volume, dtype: float64"
2017-09-04 23:59:00+00:00,"coin
btc    0.408330
xrp    0.188399
eth    0.165710
ltc    0.081000
bch    0.075662
xmr    0.031132
etc    0.025353
neo    0.013140
zec    0.006880
eos    0.004394
Name: volume, dtype: float64"
2017-09-05 23:59:00+00:00,"coin
btc    0.417058
eth    0.217683
ltc    0.145809
bch    0.063086
etc    0.057332
xrp    0.047594
xmr    0.020411
neo    0.017931
iot    0.006607
zec    0.006488
Name: volume, dtype: float64"
2017-09-06 23:59:00+00:00,"coin
btc    0.417058
eth    0.217683
ltc    0.145809
bch    0.063086
etc    0.057332
xrp    0.047594
xmr    0.020411
neo    0.017931
iot    0.006607
zec    0.006488
Name: volume, dtype: float64"
2017-09-07 23:59:00+00:00,"coin
btc    0.417058
eth    0.217683
ltc    0.145809
bch    0.063086
etc    0.057332
xrp    0.047594
xmr    0.020411
neo    0.017931
iot    0.006607
zec    0.006488
Name: volume, dtype: float64"
2017-09-08 23:59:00+00:00,"coin
btc    0.417058
eth    0.217683
ltc    0.145809
bch    0.063086
etc    0.057332
xrp    0.047594
xmr    0.020411
neo    0.017931
iot    0.006607
zec    0.006488
Name: volume, dtype: float64"
2017-09-09 23:59:00+00:00,"coin
btc    0.417058
eth    0.217683
ltc    0.145809
bch    0.063086
etc    0.057332
xrp    0.047594
xmr    0.020411
neo    0.017931
iot    0.006607
zec    0.006488
Name: volume, dtype: float64"
2017-09-10 23:59:00+00:00,"coin
btc    0.417058
eth    0.217683
ltc    0.145809
bch    0.063086
etc    0.057332
xrp    0.047594
xmr    0.020411
neo    0.017931
iot    0.006607
zec    0.006488
Name: volume, dtype: float64"
2017-09-11 23:59:00+00:00,"coin
btc    0.417058
eth    0.217683
ltc    0.145809
bch    0.063086
etc    0.057332
xrp    0.047594
xmr    0.020411
neo    0.017931
iot    0.006607
zec    0.006488
Name: volume, dtype: float64"
2017-09-12 23:59:00+00:00,"coin
btc    0.429529
eth    0.180864
ltc    0.148717
bch    0.118996
etc    0.043819
xrp    0.028598
neo    0.019716
xmr    0.016435
iot    0.007355
zec    0.005972
Name: volume, dtype: float64"
2017-09-13 23:59:00+00:00,"coin
btc    0.429529
eth    0.180864
ltc    0.148717
bch    0.118996
etc    0.043819
xrp    0.028598
neo    0.019716
xmr    0.016435
iot    0.007355
zec    0.005972
Name: volume, dtype: float64"
2017-09-14 23:59:00+00:00,"coin
btc    0.429529
eth    0.180864
ltc    0.148717
bch    0.118996
etc    0.043819
xrp    0.028598
neo    0.019716
xmr    0.016435
iot    0.007355
zec    0.005972
Name: volume, dtype: float64"
2017-09-15 23:59:00+00:00,"coin
btc    0.429529
eth    0.180864
ltc    0.148717
bch    0.118996
etc    0.043819
xrp    0.028598
neo    0.019716
xmr    0.016435
iot    0.007355
zec    0.005972
Name: volume, dtype: float64"
2017-09-16 23:59:00+00:00,"coin
btc    0.429529
eth    0.180864
ltc    0.148717
bch    0.118996
etc    0.043819
xrp    0.028598
neo    0.019716
xmr    0.016435
iot    0.007355
zec    0.005972
Name: volume, dtype: float64"
2017-09-17 23:59:00+00:00,"coin
btc    0.429529
eth    0.180864
ltc    0.148717
bch    0.118996
etc    0.043819
xrp    0.028598
neo    0.019716
xmr    0.016435
iot    0.007355
zec    0.005972
Name: volume, dtype: float64"
2017-09-18 23:59:00+00:00,"coin
btc    0.429529
eth    0.180864
ltc    0.148717
bch    0.118996
etc    0.043819
xrp    0.028598
neo    0.019716
xmr    0.016435
iot    0.007355
zec    0.005972
Name: volume, dtype: float64"
2017-09-19 23:59:00+00:00,"coin
btc    0.471196
eth    0.210891
ltc    0.136098
bch    0.083816
etc    0.034967
xrp    0.025633
xmr    0.018936
neo    0.007469
zec    0.006063
iot    0.004932
Name: volume, dtype: float64"
2017-09-20 23:59:00+00:00,"coin
btc    0.471196
eth    0.210891
ltc    0.136098
bch    0.083816
etc    0.034967
xrp    0.025633
xmr    0.018936
neo    0.007469
zec    0.006063
iot    0.004932
Name: volume, dtype: float64"
